ChEMBL ID;Name;Synonyms;Type;Smiles
CHEMBL2023898;DACLATASVIR;BMS 790052|BMS-790052|DACLATASVIR|DAKLINZA|EBP 883|EBP-883;Small molecule;COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C
CHEMBL1200961;BROMPHENIRAMINE MALEATE;(+)-Brompheniramine Maleate|BROMPHENIRAMINE MALEATE|Brompheniramine fumarate|DIMEGAN|DIMETANE-TEN|DIMOTANE|DIMOTANE L.A.|Dimetane|NSC-758652|PARABROMDYLAMINE MALEATE;Small molecule;CN(C)CCC(c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
CHEMBL1200927;DEXCHLORPHENIRAMINE MALEATE;CHLORPHENIRAMINE D-FORM MALEATE|CHLORPHENIRAMINE MALEATE, (S)-|D-CHLORPHENIRAMINE MALEATE|DEXCHLORPHENIRAMINE MALEATE|Mylaramine|NSC-759156|Polaramine;Small molecule;CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O
CHEMBL1201023;ORPHENADRINE HYDROCHLORIDE;BIORPHEN|DISIPAL|MEPHENAMIN|NSC-82357|ORPHENADRINE (CHLORIDE)|ORPHENADRINE HCL|ORPHENADRINE HYDROCHLORIDE|Orphenadrine (Chloride);Small molecule;Cc1ccccc1C(OCCN(C)C)c1ccccc1.Cl
CHEMBL572;NITROFURANTOIN;BERKFURIN|CEDURAN|Dantafur|FURALAN|Furadantin|GENFURA|Ivadantin|MACROBID|Macrodantin|NITROFURANTOIN|NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS)|NITROFURANTOIN ANHYDROUS|NITROFURANTOIN MACROCRYSTAL|NITROFURANTOIN MACROCRYSTALLINE|NITROFURANTOIN, MACROCRYSTALLINE|NITROFURANTOIN, MACROCRYSTALS|NITROFURANTOINUM ANHYDROUS|NSC-2107|NSC-44150|Nitrofurantoin;Small molecule;O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
CHEMBL709;ALFUZOSIN;ALFUZOSIN|Alfuzosin|NSC-760065|Uroxatral;Small molecule;COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
CHEMBL264374;BEZAFIBRATE;BEZAFIBRATE|BEZAGEN XL|BEZALIP|BEZALIP-MONO|BEZATOL SR|BM 15.075|BM-15.075|BM-15075|FIBRAZATE XL|LIPAROL XL|NSC-758174|ZIMBACOL XL;Small molecule;CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
CHEMBL48449;CANTHARIDIN;CANTARIDINA|CANTHARIDES CAMPHOR|CANTHARIDIN|CANTHARIDINE|CANTHARIDINUM|NSC-61805;Small molecule;C[C@]12C(=O)OC(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1
CHEMBL686;MEFENAMIC ACID;CI-473|CN-35355|CONTRAFLAM|DYSMAN-250|DYSMAN-500|GARDAN|INF-3355|J2.344B|M01AG01|MEFENAMIC ACID|MEFENAMINIC ACID|MEFLAM 250|MEFLAM 500|MENDYS|MEPHENAMIC ACID|MEPHENAMINIC ACID|NSC-94437|OPUSTAN 250|OPUSTAN 500|PONSTAN|PONSTAN FTE|Ponstel;Small molecule;Cc1cccc(Nc2ccccc2C(=O)O)c1C
CHEMBL302795;TENOXICAM;MOBIFLEX|NSC-758397|RO 12-0068|RO 12-0068/000|RO-120068000|TENOXICAM|TILCOTIL;Small molecule;CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
CHEMBL1214185;ROXITHROMYCIN;NSC-758443|ROXITHROMYCIN|RU 28965|RU 965|RU-28965|RU-965|RULID|Rulide;Small molecule;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
CHEMBL1200806;NAPROXEN SODIUM;ANAPROX|ANAPROX DS|Aleve|BAY-117031|BAY117031|BAYH6689|NAPRELAN|NAPROXEN SODIUM|NAPROXEN SODIUM ANHYDROUS|NAPROXEN SODIUM SALT|RS-3650|SYNFLEX;Small molecule;COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
CHEMBL1200948;TRIMIPRAMINE MALEATE;NSC-758386|STANGYL|Surmontil|TRIMIPRAMINE MALEATE;Small molecule;CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O
CHEMBL227875;PRETOMANID;PA 824|PA-824|PA824|PRETOMANID;Small molecule;O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2
CHEMBL976;PRAZIQUANTEL;Biltricide|CESOL|CISTICID|CYSTICIDE|Cestocur|Droncit|EMBAY 8440|EMBAY-8440|NSC-757285|PRAZIQUANTEL|PRAZIQUANTELUM;Small molecule;O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1
CHEMBL242580;CICLOPIROX OLAMINE;BATRAFEN|BRUMIXOL|CICLOCHEM|CICLOPIROX ETHANOLAMINE SALT (1:1)|CICLOPIROX OLAMINE|DAFNEGIN|HOE 296|HOE-296|Loprox|MICOXOLAMINA|MYCOSTER|NSC-336278;Small molecule;Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO
CHEMBL1454;LEVAMISOLE;LEVAMISOLE|Levamisole|TCMDC-125847|TETRAMISOLE, (S)-;Small molecule;c1ccc([C@H]2CN3CCSC3=N2)cc1
CHEMBL439;SULFADIAZINE;Adiazine|Coco-diazine|Diazyl|NSC-35600|SSD|SULFACOMBIN|SULFADIAZINE|SULFADIAZINE (TRISULFAPYRIMIDINES)|SULPHADIAZINE|Sildaflo|Silvadene|Sulfadiazine|Sulfapyrimidine|Sulfolex|Sulphadiazine|Thermazene;Small molecule;Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
